i	j	q	a
0	856	113	0
0	857	91	1
0	858	107	1
0	859	93	0
0	860	86	1
0	861	111	1
0	862	113	1
0	863	106	0
0	864	113	1
0	865	109	1
0	866	105	1
0	867	108	0
0	868	57	0
0	869	112	1
0	870	113	0
0	871	106	1
0	872	113	1
0	873	112	0
0	874	112	0
0	875	113	1
0	876	113	1
0	877	113	1
0	878	91	0
0	879	100	0
0	880	113	1
0	881	113	1
0	882	113	1
0	883	110	0
0	884	113	1
0	885	111	1
0	886	113	1
0	887	112	0
0	888	85	1
0	889	113	1
0	890	113	1
0	891	93	0
0	892	113	1
0	893	113	1
0	894	113	1
0	895	108	0
0	896	114	1
0	897	104	0
0	898	113	1
0	899	87	0
0	900	113	1
0	901	114	1
0	902	93	0
0	903	113	0
0	904	107	0
0	905	108	0
0	906	113	0
0	907	91	0
0	908	77	0
0	909	110	0
0	910	111	1
0	911	55	0
0	912	113	1
0	913	114	1
0	914	112	1
0	915	111	1
0	916	108	0
0	917	113	1
0	918	105	1
0	919	88	1
0	920	91	0
0	921	106	0
0	922	112	1
0	923	111	1
0	924	85	0
0	925	93	0
0	926	106	1
0	927	113	1
0	928	113	1
0	929	106	0
0	930	89	1
0	931	113	0
0	932	112	0
0	933	113	1
0	934	113	1
0	935	106	1
0	936	108	0
0	937	113	1
0	938	93	0
0	939	113	1
0	940	111	1
0	941	113	1
0	942	111	1
0	943	112	0
0	944	89	0
0	945	82	1
0	946	113	1
0	947	113	1
0	948	111	1
0	949	112	1
0	950	113	1
0	951	110	0
0	952	112	0
0	953	37	1
0	954	113	1
0	955	113	1
0	956	113	1
0	957	113	1
0	958	113	1
0	959	112	0
0	960	86	1
0	961	106	0
0	962	112	0
0	963	113	1
0	964	113	0
0	965	93	0
0	966	113	1
0	967	93	0
0	968	92	0
0	969	111	0
0	970	108	0
0	971	91	0
0	972	106	1
0	973	113	1
0	974	106	0
0	975	113	1
0	976	114	0
0	977	93	0
0	978	114	1
0	979	100	0
0	980	113	1
0	981	113	1
0	982	106	0
0	983	109	0
0	984	113	1
0	985	113	1
0	986	112	1
0	987	82	1
0	988	112	0
0	989	113	1
0	990	113	1
0	991	111	1
0	992	81	1
0	993	114	1
0	994	112	0
0	995	90	1
0	996	113	1
0	997	106	0
0	998	108	0
0	999	111	0
0	1000	112	0
0	1001	92	1
0	1002	105	1
0	1003	108	0
0	1004	111	1
0	1005	110	0
0	1006	113	1
0	1007	112	1
0	1008	102	0
0	1009	113	1
0	1010	113	1
0	1011	113	0
0	1012	106	0
0	1013	106	0
0	1014	113	1
0	1015	106	0
0	1016	93	0
0	1017	56	0
0	1018	113	1
0	1019	98	1
0	1020	111	1
0	1021	112	0
0	1022	111	1
0	1023	113	1
0	1024	106	0
0	1025	100	0
0	1026	108	0
0	1027	113	1
0	1028	113	1
0	1029	113	1
0	1030	108	0
0	1031	111	1
0	1032	112	0
0	1033	113	1
0	1034	108	0
0	1035	65	0
0	1036	114	1
0	1037	113	1
0	1038	112	0
0	1039	93	0
0	1040	112	0
0	1041	108	0
0	1042	108	1
0	1043	112	0
0	1044	113	1
0	1045	113	1
0	1046	85	0
0	1047	113	1
0	1048	112	0
0	1049	113	1
0	1050	113	1
0	1051	113	1
0	1052	112	0
0	1053	113	1
0	1054	113	1
0	1055	111	0
0	1056	113	1
0	1057	106	0
0	1058	112	0
0	1059	108	0
0	1060	93	0
0	1061	113	1
0	1062	113	1
0	1063	113	1
0	1064	106	1
0	1065	112	1
0	1066	113	1
0	1067	112	1
0	1068	112	1
0	1069	113	1
0	1070	93	0
0	1071	113	1
0	1072	113	1
0	1073	113	1
0	1074	113	1
0	1075	93	0
0	1076	110	1
0	1077	112	1
0	1078	113	1
0	1079	57	0
0	1080	112	1
0	1081	112	0
0	1082	108	0
0	1083	113	1
0	1084	93	0
0	1085	108	1
0	1086	113	1
0	1087	43	0
0	1088	112	1
0	1089	113	1
0	1090	112	0
0	1091	108	0
0	1092	89	1
0	1093	113	1
0	1094	113	1
0	1095	108	0
0	1096	87	1
0	1097	112	0
0	1098	107	1
0	1099	108	0
0	1100	112	1
0	1101	112	1
0	1102	113	1
0	1103	113	1
0	1104	114	0
0	1105	93	0
0	1106	112	0
0	1107	113	0
0	1108	113	1
0	1109	107	0
0	1110	111	1
0	1111	114	1
0	1112	113	0
0	1113	113	1
0	1114	108	0
0	1115	112	1
0	1116	111	0
0	1117	108	1
0	1118	104	0
0	1119	93	0
0	1120	111	0
0	1121	112	1
0	1122	102	0
0	1123	113	1
0	1124	113	0
0	1125	77	1
0	1126	113	1
0	1127	108	0
0	1128	108	0
0	1129	112	1
0	1130	106	0
0	1131	100	0
0	1132	113	1
0	1133	113	1
0	1134	112	1
0	1135	112	1
0	1136	91	0
0	1137	102	1
0	1138	109	1
0	1139	113	0
0	1140	66	0
0	1141	108	0
0	1142	104	0
0	1143	89	0
0	1144	100	1
0	1145	38	0
0	1146	106	0
0	1147	93	0
0	1148	112	1
0	1149	108	0
0	1150	94	0
0	1151	113	1
0	1152	88	1
0	1153	106	0
0	1154	112	1
0	1155	88	0
0	1156	106	0
0	1157	114	1
0	1158	108	0
0	1159	113	1
0	1160	112	0
0	1161	113	1
0	1162	104	0
0	1163	110	0
0	1164	106	1
0	1165	104	0
0	1166	113	1
0	1167	108	0
0	1168	111	0
0	1169	108	0
0	1170	111	1
0	1171	113	1
0	1172	87	1
0	1173	86	1
0	1174	112	1
0	1175	108	0
0	1176	114	1
0	1177	113	1
0	1178	108	0
0	1179	113	1
0	1180	113	0
0	1181	110	1
0	1182	113	1
0	1183	111	1
0	1184	113	1
0	1185	110	0
0	1186	106	0
0	1187	113	1
0	1188	67	0
0	1189	113	1
0	1190	91	0
0	1191	85	0
0	1192	113	0
0	1193	112	1
0	1194	113	1
0	1195	93	0
0	1196	105	1
0	1197	113	1
0	1198	113	0
0	1199	113	1
0	1200	90	1
0	1201	113	1
0	1202	113	1
0	1203	105	0
0	1204	112	1
0	1205	113	1
0	1206	111	1
0	1207	91	0
0	1208	93	0
0	1209	93	0
0	1210	112	0
0	1211	104	0
0	1212	91	0
0	1213	113	1
0	1214	108	0
0	1215	113	1
0	1216	108	1
0	1217	67	1
0	1218	87	0
0	1219	112	1
0	1220	110	0
0	1221	113	1
0	1222	108	0
0	1223	55	0
0	1224	93	0
0	1225	114	1
0	1226	112	1
0	1227	113	1
0	1228	113	1
0	1229	106	0
0	1230	93	0
0	1231	112	1
0	1232	83	1
0	1233	104	0
0	1234	93	0
0	1235	113	1
0	1236	111	0
0	1237	108	0
0	1238	112	0
0	1239	112	1
0	1240	113	1
0	1241	93	0
