i	j	q	a
0	563	113	1
0	564	108	1
0	565	106	1
0	566	108	1
0	567	108	1
0	568	55	1
0	569	112	1
0	570	108	1
0	571	93	1
0	572	111	1
0	573	91	1
0	574	112	1
0	575	106	1
0	576	113	1
0	577	108	1
0	578	102	1
0	579	105	1
0	580	87	1
0	581	112	1
0	582	105	1
0	583	106	1
0	584	112	1
0	585	112	1
0	586	108	1
0	587	108	1
0	588	112	1
0	589	106	1
0	590	108	1
0	591	111	1
0	592	108	1
0	593	106	1
0	594	55	1
0	595	113	1
0	596	113	1
0	597	53	1
0	598	106	1
0	599	93	1
0	600	93	1
0	601	108	1
0	602	113	1
0	603	114	1
0	604	93	1
0	605	110	1
0	606	104	1
0	607	114	1
0	608	113	1
0	609	112	1
0	610	113	1
0	611	108	1
0	612	111	1
0	613	112	1
0	614	93	1
0	615	92	1
0	616	108	1
0	617	92	1
0	618	102	1
0	619	93	1
0	620	113	1
0	621	91	1
0	622	57	1
0	623	108	1
0	624	83	1
0	625	108	1
0	626	113	1
0	627	113	1
0	628	93	1
0	629	108	1
0	630	110	1
0	631	85	1
0	632	108	1
0	633	93	1
0	634	108	1
0	635	114	1
0	636	81	1
0	637	93	1
0	638	107	1
0	639	86	1
0	640	108	1
0	641	113	1
0	642	56	1
0	643	106	1
0	644	96	1
0	645	89	1
0	646	112	1
0	647	108	1
0	648	88	1
0	649	112	1
0	650	93	1
0	651	107	1
0	652	107	1
0	653	108	1
0	654	108	1
0	655	106	1
0	656	110	1
0	657	89	1
0	658	93	1
0	659	114	1
0	660	106	1
0	661	108	1
0	662	54	1
0	663	93	1
0	664	93	1
0	665	91	1
0	666	111	1
0	667	111	1
0	668	108	1
0	669	110	1
0	670	114	1
0	671	113	1
0	672	112	1
0	673	93	1
0	674	93	1
0	675	106	1
0	676	93	1
0	677	108	1
0	678	108	1
0	679	109	1
0	680	106	1
0	681	108	1
0	682	113	1
0	683	91	1
0	684	93	1
0	685	112	1
0	686	106	1
0	687	95	1
0	688	112	1
0	689	93	1
0	690	112	1
0	691	106	1
0	692	112	1
0	693	92	1
0	694	112	1
0	695	112	1
0	696	108	1
0	697	110	1
0	698	112	1
0	699	105	1
0	700	112	1
0	701	112	1
0	702	113	1
0	703	112	1
0	704	55	1
0	705	93	1
0	706	113	1
0	707	113	1
0	708	106	1
0	709	113	1
0	710	113	1
0	711	114	1
0	712	108	1
0	713	106	1
0	714	114	1
0	715	89	1
0	716	93	1
0	717	57	1
0	718	93	1
0	719	49	1
0	720	112	1
0	721	93	1
0	722	93	1
0	723	114	1
0	724	91	1
0	725	83	1
0	726	108	1
0	727	108	1
0	728	112	1
0	729	89	1
0	730	108	1
0	731	113	1
0	732	106	1
0	733	108	1
0	734	105	1
0	735	108	1
0	736	104	1
0	737	103	1
0	738	108	1
0	739	91	1
0	740	111	1
0	741	102	1
0	742	112	1
0	743	66	1
0	744	57	1
0	745	93	1
0	746	66	1
0	747	93	1
0	748	89	1
0	749	108	1
0	750	106	1
0	751	55	1
0	752	93	1
0	753	93	1
0	754	93	1
0	755	113	1
0	756	106	1
0	757	106	1
0	758	112	1
0	759	112	1
0	760	113	1
0	761	108	1
0	762	110	1
0	763	108	1
0	764	98	1
0	765	112	1
0	766	112	1
0	767	79	1
0	768	106	1
0	769	113	1
0	770	85	1
0	771	112	1
0	772	112	1
0	773	89	1
0	774	85	1
0	775	104	1
0	776	106	1
0	777	94	1
0	778	81	1
0	779	108	1
0	780	93	1
0	781	113	1
0	782	91	1
0	783	103	1
0	784	106	1
0	785	108	1
0	786	93	1
0	787	106	1
0	788	113	1
0	789	85	1
0	790	112	1
0	791	89	1
0	792	85	1
0	793	113	1
0	794	106	1
0	795	112	1
0	796	108	1
0	797	112	1
0	798	104	1
0	799	93	1
0	800	102	1
0	801	111	1
0	802	113	1
0	803	55	1
0	804	112	1
0	805	87	1
0	806	91	1
0	807	112	1
0	808	106	1
0	809	104	1
0	810	90	1
0	811	112	1
0	812	112	1
0	813	108	1
0	814	108	1
0	815	108	1
0	816	112	1
0	817	93	1
0	818	108	1
0	819	90	1
0	820	114	1
0	821	104	1
0	822	57	1
0	823	111	1
0	824	87	1
0	825	55	1
0	826	93	1
0	827	106	1
0	828	112	1
0	829	108	1
0	830	114	1
0	831	112	1
0	832	57	1
0	833	108	1
0	834	110	1
0	835	90	1
0	836	113	1
0	837	112	1
0	838	108	1
0	839	93	1
0	840	113	1
0	841	93	1
0	842	106	1
0	843	93	1
0	844	89	1
0	845	112	1
0	846	111	1
0	847	112	1
0	848	112	1
0	849	108	1
0	850	112	1
0	851	112	1
0	852	112	1
0	853	108	1
0	854	112	1
0	855	93	1
0	856	108	1
0	857	108	1
0	858	108	1
0	859	100	1
0	860	104	1
0	861	112	1
0	862	106	1
0	863	108	1
0	864	57	1
0	865	106	1
0	866	112	1
0	867	113	1
0	868	113	1
0	869	105	1
0	870	113	1
0	871	108	1
0	872	113	1
0	873	113	1
0	874	112	1
0	875	106	1
0	876	57	1
0	877	93	1
0	878	112	1
0	879	106	1
0	880	112	1
0	881	114	1
0	882	93	1
0	883	110	1
0	884	112	1
0	885	113	1
0	886	110	1
0	887	110	1
0	888	93	1
0	889	108	1
0	890	112	1
0	891	113	1
0	892	112	1
0	893	106	1
0	894	104	1
0	895	93	1
0	896	106	1
0	897	91	1
0	898	111	1
0	899	111	1
0	900	112	1
0	901	110	1
0	902	112	1
0	903	112	1
0	904	91	1
0	905	108	1
0	906	93	1
0	907	91	1
0	908	91	1
0	909	113	1
0	910	93	1
0	911	108	1
0	912	102	1
0	913	110	1
0	914	108	1
0	915	81	1
0	916	93	1
0	917	77	1
0	918	91	1
0	919	108	1
0	920	56	1
0	921	85	1
0	922	114	1
0	923	43	1
0	924	108	1
0	925	102	1
0	926	93	1
0	927	114	1
0	928	93	1
0	929	108	1
0	930	108	1
0	931	109	1
0	932	91	1
0	933	112	1
0	934	111	1
0	935	93	1
0	936	92	1
0	937	89	1
0	938	112	1
0	939	113	1
0	940	108	1
0	941	113	1
0	942	113	1
0	943	109	1
0	944	106	1
0	945	91	1
0	946	94	1
0	947	112	1
0	948	112	1
0	949	108	1
0	950	110	1
0	951	112	1
0	952	93	1
0	953	53	1
0	954	106	1
0	955	113	1
0	956	112	1
0	957	108	1
0	958	91	1
0	959	108	1
0	960	93	1
0	961	93	1
0	962	108	1
0	963	107	1
0	964	57	1
0	965	108	1
0	966	112	1
0	967	106	1
0	968	112	1
0	969	108	1
0	970	91	1
0	971	113	1
0	972	104	1
0	973	108	1
0	974	108	1
0	975	93	1
0	976	106	1
0	977	102	1
0	978	112	1
0	979	110	1
0	980	107	1
0	981	112	1
0	982	93	1
0	983	112	1
0	984	37	1
0	985	106	1
0	986	104	1
0	987	108	1
0	988	108	1
0	989	112	1
0	990	106	1
0	991	93	1
0	992	110	1
0	993	93	1
0	994	113	1
0	995	83	1
0	996	107	1
0	997	106	1
0	998	91	1
0	999	106	1
0	1000	112	1
0	1001	108	1
0	1002	113	1
0	1003	111	1
0	1004	109	1
0	1005	92	1
0	1006	112	1
0	1007	112	1
0	1008	93	1
0	1009	66	1
0	1010	106	1
0	1011	106	1
0	1012	105	1
0	1013	113	1
0	1014	112	1
0	1015	108	1
0	1016	108	1
0	1017	113	1
0	1018	113	1
0	1019	92	1
0	1020	109	1
0	1021	93	1
0	1022	112	1
0	1023	106	1
0	1024	93	1
0	1025	113	1
0	1026	87	1
0	1027	108	1
0	1028	110	1
0	1029	106	1
0	1030	112	1
0	1031	108	1
0	1032	93	1
0	1033	107	1
0	1034	112	1
0	1035	112	1
0	1036	91	1
0	1037	108	1
0	1038	111	1
0	1039	112	1
0	1040	100	1
0	1041	87	1
0	1042	78	1
0	1043	104	1
0	1044	107	1
0	1045	91	1
0	1046	108	1
0	1047	106	1
0	1048	108	1
0	1049	91	1
0	1050	94	1
0	1051	93	1
0	1052	113	1
0	1053	108	1
0	1054	105	1
0	1055	93	1
0	1056	91	1
0	1057	102	1
0	1058	93	1
0	1059	55	1
0	1060	93	1
0	1061	104	1
0	1062	57	1
0	1063	102	1
0	1064	113	1
0	1065	108	1
0	1066	108	1
0	1067	91	1
0	1068	110	1
0	1069	108	1
0	1070	108	1
0	1071	110	1
0	1072	108	1
0	1073	108	1
0	1074	113	1
0	1075	88	1
0	1076	98	1
0	1077	83	1
0	1078	113	1
0	1079	114	1
0	1080	53	1
0	1081	111	1
0	1082	111	1
0	1083	107	1
0	1084	57	1
0	1085	113	1
